Mood,track_acousticness,track_danceability,track_energy,track_instrumentalness,track_liveness,track_speechiness,track_tempo,track_valence
Happy,0.307243459,0.498383368,0.467843221,0.007836809,0.1309911,0.117470326,0.475934423,0.425212018
Happy,0.294483433,0.415794321,0.642958776,0.00145595,0.083277891,0.363234418,0.378519809,0.21176588
Happy,0.033151792,0.567330819,0.533776506,0.000530222,0.283939635,0.094809567,0.280597911,0.47304683
Cheerful Instrumental,0.462064498,0.319565606,0.448884876,0.468743961,0.056066057,0.01601532,0.202164094,0.467851982
Happy,0.315820085,0.358435827,0.391379784,0.013578413,0.067440368,0.367012877,0.298818977,0.624403304
Angry,0.078881483,0.193159569,0.449427951,0.618237392,0.165593568,0.022631258,0.574676343,0.118650044
Exciting,0.285170749,0.556287304,0.201336725,0.507410601,0.065167364,0.02960602,0.304004493,0.462253232
Sober,0.848405078,0.383796117,0.066586665,0.304173029,0.09304601,0.023469613,0.076885722,0.144341787
Cheerful Instrumental,0.424632639,0.242824193,0.527750816,0.583104146,0.056823381,0.050664206,0.364496058,0.059489743
Cheerful Instrumental,0.505920048,0.246914036,0.357310401,0.514313134,0.1489743,0.049900628,0.271551606,0.438709416
Exciting,0.184114594,0.342945812,0.381315924,0.559851457,0.055005669,0.036976566,0.355917786,0.508511688
Cheerful Instrumental,0.419233661,0.329134372,0.375422988,0.31717206,0.135619223,0.027864402,0.407490542,0.537731929
Cheerful Instrumental,0.412063412,0.374092627,0.458492001,0.427040585,0.055398011,0.034452946,0.239725382,0.485752684
Cheerful Instrumental,0.563689728,0.145818693,0.558823557,0.554963323,0.069208595,0.029510279,0.18624071,0.019402423
Sober,0.68134485,0.247881023,0.016751422,0.672199241,0.079545236,0.022598375,0.121356475,0.025024747
Cheerful Instrumental,0.566405296,0.082076223,0.526284231,0.558117795,0.209740921,0.050502092,0.192468192,0.019805288
Cheerful Vocals,0.747399488,0.170749629,0.546177242,0.198781611,0.069795586,0.040354078,0.259723313,0.021419277
Cheerful Instrumental,0.567751719,0.191149184,0.476615874,0.589709015,0.089381268,0.056848854,0.229699523,0.047094444
Sober,0.522080091,0.213695276,0.15962248,0.714540014,0.065073997,0.047920912,0.355683214,0.112598188
Cheerful Instrumental,0.505990673,0.089419459,0.553870641,0.558653494,0.064961129,0.063466012,0.329232456,0.02166318
Cheerful Instrumental,0.531159236,0.179947529,0.35617507,0.600233137,0.069685674,0.025614935,0.408789014,0.160398182
Angry,0.252940647,0.233873625,0.582890077,0.625951943,0.136967954,0.318493674,0.168659052,0.033213915
Cheerful Vocals,0.580461251,0.181094893,0.556263197,0.16019998,0.206873304,0.482240691,0.139439664,0.019507203
Cheerful Instrumental,0.517609018,0.128241165,0.483842104,0.584257318,0.231203401,0.047957647,0.290025711,0.01747716
Cheerful Instrumental,0.589035337,0.163302301,0.452906928,0.575439472,0.0875928,0.057281288,0.273726245,0.065075004
Sober,0.66687712,0.124690922,0.276686756,0.639804314,0.07483379,0.02739208,0.137081258,0.169352492
Cheerful Instrumental,0.532390936,0.152469848,0.549385933,0.510453428,0.303439465,0.102892348,0.16710158,0.018437707
Sober,0.629061181,0.394134463,0.137316884,0.615893229,0.070263846,0.018943623,0.21174041,0.025095627
Cheerful Vocals,0.775783988,0.39215117,0.290718269,0.080535073,0.17135513,0.025474035,0.290952423,0.196745606
Sober,0.662706056,0.193292853,0.160773971,0.636043678,0.065762565,0.020173925,0.291463845,0.058102068
Cheerful Vocals,0.562011634,0.370110439,0.024991813,0.191553716,0.063816952,0.478488848,0.278891264,0.446138152
Sober,0.648166972,0.454265623,0.116346875,0.539332961,0.183236975,0.070352427,0.110797462,0.135293577
Sober,0.725494635,0.361488507,0.146382267,0.451622528,0.063167077,0.028450994,0.280274013,0.185040149
Sober,0.651526777,0.325264078,0.121488323,0.63764751,0.076770932,0.027879506,0.103813887,0.175823812
Sober,0.658056108,0.244631325,0.096999483,0.643085703,0.077890989,0.023613,0.263505455,0.089943581
Sober,0.57045865,0.34952809,0.004085196,0.459177089,0.046411021,0.24423691,0.283371062,0.446589236
Sober,0.657101812,0.293605378,0.167917056,0.599344657,0.091289373,0.021595063,0.264029736,0.126850847
Sober,0.559955529,0.436625438,0.13924677,0.611422215,0.065630193,0.029825659,0.207994421,0.232642801
Sober,0.608342623,0.136802848,0.186981433,0.508737596,0.10775407,0.023964617,0.500959271,0.2329867
Cheerful Instrumental,0.560091058,0.260816113,0.307064175,0.54490553,0.07736951,0.014506221,0.193211695,0.428410186
Sober,0.626176791,0.359813348,0.133072223,0.60984006,0.075593299,0.022294098,0.26060443,0.121234579
Cheerful Vocals,0.704977884,0.418248762,0.097937951,0.062047112,0.068006924,0.041516187,0.327838946,0.448113335
Cheerful Vocals,0.801721188,0.339342668,0.18563851,0.217406514,0.11906847,0.03236336,0.319108354,0.208104812
Sober,0.671310108,0.196144214,0.090352477,0.651096939,0.068595369,0.021731036,0.257635511,0.085004547
Cheerful Instrumental,0.554230519,0.224402836,0.116837095,0.541550685,0.071535303,0.021158183,0.24939661,0.51747484
Sober,0.5895052,0.378410797,0.005366539,0.543422038,0.064473083,0.14848621,0.092667265,0.42327346
Sober,0.671804023,0.283865668,0.247606824,0.533873133,0.142098082,0.022611516,0.280951489,0.148771944
Sober,0.608766247,0.293999916,0.351987183,0.548629455,0.225797512,0.048970494,0.214706252,0.136370995
Sober,0.75816815,0.329605928,0.173952063,0.402006268,0.081074368,0.026431732,0.271507036,0.209009257
Sober,0.668044516,0.408154886,0.116608239,0.543277428,0.111374708,0.020111452,0.233904016,0.10420357
Cheerful Vocals,0.607788562,0.481548448,0.25704013,0.021505238,0.445387663,0.020829994,0.265098882,0.251178376
Sober,0.623924537,0.208958976,0.227855117,0.614236517,0.05544435,0.021880324,0.365334662,0.028768503
Exciting,0.083497867,0.340807762,0.476901652,0.555851875,0.062620369,0.018399536,0.350455356,0.461944664
Angry,0.010886348,0.235118084,0.566677719,0.599414032,0.098588371,0.025074292,0.366231408,0.345986017
Sober,0.611169804,0.193306749,0.341486086,0.603525126,0.056024544,0.074624507,0.314492671,0.02520795
Sober,0.668156814,0.168227773,0.196395902,0.658053024,0.079544228,0.033399926,0.19934731,0.08048954
Cheerful Instrumental,0.576112696,0.256317942,0.281210707,0.544155503,0.053872479,0.026052086,0.29434559,0.370122035
Cheerful Instrumental,0.575206254,0.218271184,0.307288617,0.56879692,0.064255412,0.041319009,0.385578178,0.221433229
Sober,0.585802983,0.418858235,0.147852303,0.558172515,0.062469379,0.021505836,0.244758276,0.28931686
Cheerful Instrumental,0.525129412,0.374218353,0.231741805,0.479598675,0.060504436,0.035967125,0.246670782,0.484437484
Angry,0.278119298,0.169393909,0.628374102,0.579638865,0.263314408,0.097767528,0.287456891,0.039946242
Angry,0.246571043,0.130744663,0.648876424,0.652988217,0.101401423,0.044238879,0.20719422,0.139662292
Angry,0.043695795,0.204445233,0.667181252,0.622150835,0.082821051,0.064408558,0.320639404,0.101355432
Sober,0.578260856,0.276232293,0.15253823,0.538666325,0.071890981,0.211663413,0.308508587,0.361570906
Sober,0.613705959,0.197701091,0.047444411,0.648639274,0.07907785,0.024181582,0.389438178,0.052870081
Sober,0.516383799,0.495346022,0.053707347,0.632068816,0.075432899,0.028735674,0.271567636,0.072936833
Sober,0.676417566,0.212665245,0.239396311,0.531561537,0.077662871,0.031041741,0.381607291,0.068885946
Sober,0.606712794,0.432843718,0.19706603,0.446133953,0.086833649,0.039700985,0.34526622,0.279911349
Sober,0.608546432,0.327472772,0.024175286,0.642701815,0.072313434,0.023274335,0.233316591,0.220397816
Sober,0.3067954,0.356892843,0.019265955,0.857344584,0.081431661,0.037942902,0.18354523,0.036517643
Sober,0.530000604,0.384067941,0.278510154,0.584135976,0.072360693,0.025692521,0.358881058,0.134598077
Cheerful Vocals,0.41841837,0.494057002,0.042487647,0.089588114,0.078469479,0.037920679,0.54821958,0.512701055
Cheerful Instrumental,0.608363031,0.22238851,0.298608535,0.521099925,0.057696468,0.348427333,0.203384893,0.23158083
Sober,0.61065534,0.467976281,0.082024646,0.478599997,0.070217585,0.083759766,0.232661004,0.325936965
Happy,0.062741291,0.582091094,0.346102332,0.01324103,0.056883436,0.026391392,0.258148213,0.68315343
Cheerful Instrumental,0.362987883,0.33755064,0.128304801,0.693109304,0.1142906,0.042989219,0.302862936,0.388330221
Sober,0.652939043,0.396392579,0.049967638,0.489571847,0.090389365,0.156508853,0.314479847,0.206889677
Sober,0.626684525,0.25794495,0.215875979,0.601992858,0.179315964,0.025903397,0.273202353,0.155783001
Cheerful Instrumental,0.435658778,0.326031669,0.187104049,0.69484351,0.071524256,0.05455288,0.198453869,0.372308577
Sober,0.626571777,0.222634299,0.041944923,0.642617384,0.07655941,0.027285305,0.359305162,0.086135171
Sober,0.585641444,0.469409102,0.078956148,0.509287932,0.072520141,0.083802053,0.325219046,0.230264066
Sober,0.60171314,0.170751942,0.1820815,0.642620826,0.053899813,0.021803414,0.380777857,0.11957223
Sober,0.553507121,0.300249343,0.126675662,0.64948993,0.084707973,0.05448525,0.381060498,0.10121818
Sober,0.683902837,0.235306602,0.088349845,0.647750015,0.077614704,0.023585234,0.180944093,0.100999334
Sober,0.588393314,0.350925705,0.208929243,0.586097751,0.06862223,0.064133324,0.254381196,0.264481698
Sober,0.576368492,0.321159808,0.080120038,0.55992895,0.149305014,0.246170518,0.267145741,0.300761253
Cheerful Instrumental,0.493151625,0.32452568,0.375798435,0.44634508,0.081581424,0.306404576,0.412295396,0.201269416
Sober,0.560511535,0.334005296,0.183543922,0.576248523,0.066881681,0.064858198,0.247570127,0.372217459
Exciting,0.233304813,0.490032689,0.138696346,0.639733329,0.07278322,0.043242626,0.337377168,0.394905994
Sober,0.520765981,0.425959008,0.156162156,0.587420979,0.068647943,0.069872152,0.187867298,0.364723061
Cheerful Instrumental,0.608703185,0.290961087,0.361940213,0.551827127,0.085556562,0.140193826,0.229453369,0.172293646
Cheerful Vocals,0.673804229,0.364717859,0.080181547,9.06E-07,0.147235725,0.503132522,0.237045349,0.274824441
